dish_id,total_grams,total_calories,total_fat,total_carbohydrates,total_protein,number_of_ingredients,calories_per_100g,fat_per_100g,carbohydrates_per_100g,protein_per_100g
dish_1550704750,83.0,136.95,2.988,0.0,25.73,1,165.0,3.5999999999999996,0.0,31.0
dish_1550704903,76.0,30.4,0.152,6.84,1.52,1,40.0,0.2,9.0,2.0
dish_1550705288,100.0,77.0,0.1,17.0,2.0,1,77.0,0.1,17.0,2.0
dish_1550705370,49.0,122.5,7.35,0.0,12.74,1,250.0,15.0,0.0,26.0
dish_1550705445,40.0,4.0,0.0,0.8,0.4,1,10.0,0.0,2.0,1.0
dish_1550705477,189.0,203.5,7.449999999999999,17.8,15.14,3,107.67195767195767,3.9417989417989414,9.417989417989418,8.010582010582011
dish_1550705504,189.0,203.5,7.449999999999999,17.8,15.14,3,107.67195767195767,3.9417989417989414,9.417989417989418,8.010582010582011
dish_1550705535,75.0,18.75,0.225,3.75,1.35,1,25.0,0.3,5.0,1.8000000000000003
dish_1550705580,66.0,108.9,2.376,0.0,20.46,1,165.0,3.5999999999999996,0.0,31.0
dish_1550705623,51.0,20.4,0.102,4.59,1.02,1,40.0,0.2,9.0,2.0
dish_1550705669,192.0,148.05,2.703,8.34,22.830000000000002,3,77.109375,1.4078125,4.34375,11.890625
dish_1550705724,192.0,148.05,2.703,8.34,22.830000000000002,3,77.109375,1.4078125,4.34375,11.890625
dish_1550705786,63.0,382.41,34.02,13.23,12.6,1,607.0,54.0,21.000000000000004,20.0
dish_1550705888,93.0,71.61,0.093,15.81,1.86,1,77.0,0.1,17.0,2.0
dish_1550705939,38.0,95.0,5.7,0.0,9.88,1,250.0,15.0,0.0,26.0
dish_1550705995,194.0,549.02,39.813,29.04,24.34,3,283.0,20.522164948453607,14.969072164948452,12.546391752577318
dish_1550706037,194.0,549.02,39.81300000000001,29.04,24.34,3,283.0,20.522164948453614,14.969072164948452,12.546391752577318
dish_1550706096,45.0,18.0,0.09,4.05,0.9,1,40.0,0.2,9.0,2.0
dish_1550706177,87.0,29.58,0.609,5.916,0.609,1,34.0,0.7000000000000001,6.800000000000001,0.7000000000000001
dish_1550706237,50.0,132.7,2.1,21.15,6.75,1,265.4,4.2,42.3,13.5
dish_1550706283,182.0,180.27999999999997,2.799,31.116,8.259,3,99.05494505494504,1.5379120879120878,17.096703296703296,4.537912087912089
dish_1550706325,182.0,180.27999999999997,2.799,31.116,8.259,3,99.05494505494504,1.5379120879120878,17.096703296703296,4.537912087912089
dish_1550706448,85.0,8.5,0.0,1.7,0.85,1,10.0,0.0,2.0,1.0
dish_1550706583,151.0,249.15,5.436,0.0,46.81,1,165.0,3.5999999999999996,0.0,31.0
dish_1550706639,89.0,22.25,0.267,4.45,1.602,1,25.0,0.3,5.0,1.8000000000000003
dish_1550706705,325.0,279.9,5.703,6.15,49.262,3,86.12307692307691,1.7547692307692309,1.8923076923076925,15.157538461538461
dish_1550706766,325.0,279.9,5.703,6.15,49.262,3,86.12307692307691,1.7547692307692309,1.8923076923076925,15.157538461538461
